ProgramType,ActivityCode,GranteeStatus,BHCMISId,grantnumber,BPHCAssignedSiteNumber,SiteName,SiteType,TemporarySiteFlag,SiteStatus,SiteTerminatedDate,SiteLocation,LocationSetting,SiteOpenedDate,SiteEffectiveDate,SiteOperationalByDate,SitePhysicalAddress,PhysicalCongressionalDistrict,ServiceAreaZipCodes,OperatingMonths,TotalWeeklyHoursOfOperation,SiteOperatedBy,NoOfVoucherSites,NoOfIntermittentSites,MedicaidBillingNumber,PhysicalMailStopCode,PhysicalDivisionLine,PhysicalStreetNumber,PhysicalStreetAddress,PhysicalPostOfficeBoxNumber,PhysicalRuralRouteNumber,SitePhysicalCity,SiteState,SiteRegion,SitePhysicalRegion,PhysicalZipCode,PhysicalZip4Code,PhysicalCounty,OrganizationStreetAddress,OrganizationCity,OrganizationState,OrganizationZipCode,OrganizationZip4Code,SiteMailingAddress,MailingMailStopCode,MailingDivisionLine,MailingStreetNumber,MailingStreetAddress,MailingUnit,MailingPostOfficeBoxNumber,MailingRuralRouteNumber,MailingCity,MailingState,MailingZipCode,MailingZip4Code,MailingCongressionalDistrict,OrganizationName,OperatingOrgPhysicalAddress,OperatingOrgMailingAddress,OperatingOrgEIN,ProjectDirector,PDPhone,PDPhoneExtension,PDEmail,SitePhoneExtension,SitePhoneNumber,SiteAdminPhone,SiteAdminPhoneExtension,RelatedARRAGrantsFlag,RelatedARRAGrants,RelatedACAGrantsFlag,RelatedACAGrants,NationalProviderIdentificationNumber,MedicareBillingNumber,MedicareBillingNumberStatus,HRSAAssignedSiteNumber,CalendarSchedule,OperationalSchedule,PopulationType,MedicaidPharmacyBillingNumber,SiteFaxNumber,DUNS,ServiceAreaCensusTracts
Section 330,H80,Inactive,426190,H80CS10595,BPS-H80-008994,North Port Health Center-dental temp,Service Delivery Site,No,Terminated,8/16/12,Permanent,All Other Clinic Types,10/1/09,10/1/09,10/1/09,"7820 Tamiami Trl S, Venice, FL 34293-5120",FL-16,"34,223,342,863,428,700,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",42,Health Center/Applicant,,NULL,27968400,NULL,NULL,NULL,7820 Tamiami Trl S,NULL,NULL,Venice,FL,Region IV,Region IV,34293,5120,Sarasota,4052 Bald Cypress Way B-20 B02 Rm 3330 G-A,Tallahassee,FL,32399,7017,"7820 Tamiami Trl S, Venice, FL 34293-5120",NULL,NULL,7820,Tamiami Trl S, ,NULL,NULL,Venice,FL,34293,5120,FL-13,"Health, Florida Department of",NULL,NULL,NULL,Linda L Stone,(407)-252-5582,,linda.stone@centerplacehealth.org,NULL,(941)-548-0100,(941)-548-0123,NULL,Yes,C81CS13839(Used),No,N/A,NULL,77083,NULL,13232,Year-Round,Full-Time,Urban,1386671105,(941)-548-0105,364215061,"27.01,27.03,27.10,27.11,27.12,27.13,27.14,27.15,27.16,27.17,27.18"
Section 330,H80,Inactive,14040,H80CS00239,BPS-H80-006010,CROSSROADS HOUSE,Service Delivery Site,No,Terminated,8/17/12,Mobile Van,All Other Clinic Types,-,9/6/02,-,"600 Lafayette Rd, Portsmouth, NH 03801-5435",NH-01,3801,NULL,10,Health Center/Applicant,,NULL,30511793,,,NULL,600 Lafayette Rd,NULL,NULL,Portsmouth,NH,Region I,Region I,3801,5435,Rockingham,100 CAMPUS DR 12,PORTSMOUTH,NH,3801,5892,"600 Lafayette Rd, Portsmouth, NH 03801-5435",,,600,Lafayette Rd, ,,,Portsmouth,NH,3801,5435,NH-01,"FAMILIES FIRST OF THE GREATER SEA COAST, INC",NULL,NULL,NULL,NULL,NULL,,NULL,,(603)-436-2218,(603)-436-2218,,Yes,C81CS14479(Used),No,N/A,NULL,301826,NULL,7167,Year-Round,Part-Time,Urban,,,858444581,NULL
Section 330,H80,Inactive,09E00525,H80CS24201,BPS-H80-011597,UCAP Community Clinic,Service Delivery Site,No,Terminated,8/21/13,Permanent,All Other Clinic Types,1/24/11,6/1/12,6/1/12,"3727 Mccray St, Riverside, CA 92506-2928",CA-41,"9,250,192,502,925,030,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",44,Health Center/Applicant,,NULL,pending,NULL,NULL,NULL,3727 Mccray St,NULL,NULL,Riverside,CA,Region IX,Region IX,92506,2928,Riverside,2880 Hulen Pl,Riverside,CA,92507,2606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Urban Community Action Projects,NULL,NULL,NULL,Bill  Ballas,(925)-989-4276,,billballas@healthtohope.com,NULL,(951)-786-9048,(951)-786-9048,NULL,No,N/A,Yes,H80CS24201(Created),NULL,pending,NULL,17938,Year-Round,Full-Time,Urban,pending,(951)-786-9049,11116026,305.02
Section 330,H80,Inactive,75300,H80CS00573,BPS-H80-008401,Family Health Center at Marceline,Service Delivery Site,No,Terminated,8/22/14,Permanent,All Other Clinic Types,-,3/1/09,7/1/09,"225 West Hayden St., Suite 200, Marceline, MO 64658-1049",MO-06,NULL,NULL,40,Health Center/Applicant,,NULL,508842200,NULL,NULL,NULL,"225 West Hayden St., Suite 200",NULL,NULL,Marceline,MO,Region VII,Region VII,64658,1049,Linn,401 West Blvd N Ste (A-B),Columbia,MO,65203,2600,"225 West Hayden Street STE 200, Marceline, MO 64658",,,225,West Hayden Street,STE 200,,,Marceline,MO,64658,    ,-,Family Health Center of Boone County,NULL,NULL,NULL,Jack  Kelly,(573)-886-6713,,jkelly@fhcmo.org,,(660)-376-2038,(660)-214-2314,,Yes,"H8ACS11384(Created), C81CS13608(Used)",No,N/A,NULL,261035,NULL,12956,Year-Round,NULL,Rural,,(660)-376-3011,809524056,NULL
Section 330,H80,Inactive,33620,H80CS00686,BPS-H80-017363,Lancaster Health Center - Prince Street,Service Delivery Site,No,Terminated,8/22/18,Permanent,All Other Clinic Types,NULL,12/14/15,3/30/16,"812 N Prince St, Lancaster, PA 17603-2732",PA-11,"176,011,760,217,603","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,812 N Prince St,NULL,NULL,Lancaster,PA,Region III,Region III,17603,2732,Lancaster,304 N Water St,Lancaster,PA,17603,    ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lancaster Health Center,NULL,NULL,NULL,Alisa  Jones,(717)-945-1551,,Alisa.Jones@unioncomcare.org,NULL,(717)-299-6371,,NULL,No,N/A,No,N/A,1306213020,391067,This site has a Medicare billing number,35105,,NULL,,NULL,NULL,175530930,NULL
Section 330,H80,Inactive,45940,H80CS00846,BPS-H80-002027,"SAINT JOSEPH CARE OF FL, INC/",Service Delivery Site,No,Terminated,8/26/14,Permanent,All Other Clinic Types,1/7/02,1/7/02,1/7/02,"502 E    4th St, Port Saint Joe, FL 32456-1760",FL-02,"32,320,324,103,245,600,000",NULL,40,Health Center/Applicant,,NULL,0279331-00,,,NULL,502 E    4th St,NULL,NULL,Port Saint Joe,FL,Region IV,Region IV,32456,1760,Gulf,4052 Bald Cypress Way B-20 B02 Rm 3330 G-A,Tallahassee,FL,32399,7017,"502 E 4th St, Port Saint Joe, FL 32456-1760",NULL,NULL,502,E 4th St, ,NULL,NULL,Port Saint Joe,FL,32456,1760,FL-02,"Health, Florida Department of",NULL,NULL,NULL,NULL,NULL,,NULL,160,(850)-227-1276,(850)-227-1276,103,No,N/A,No,N/A,NULL,77676,NULL,5171,Year-Round,Full-Time,Rural,N/A,(850)-227-7589,364215061,"3,245,632,465"
Section 330,H80,Inactive,02E01369,H80CS33640,BPS-H80-031193,PRCONCRA HEALTH CENTER,Service Delivery Site,No,Terminated,9/7/20,Permanent,All Other Clinic Types,NULL,8/17/20,8/24/20,"U3-1 Carr 21, San Juan, PR 00921-3313",-,"9,170,091,800,920,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",160,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,U3-1 Carr 21,NULL,NULL,San Juan,PR,Region II,Region II,921,3313,San Juan,1162 Calle Brumbaugh Urb Garcia Ubarri,San Juan,PR,925,3608,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PUERTO RICO COMMUNITY NETWORK FOR CLINICAL SERVICES, RESEARCH AND HEALTH ADVANCEMENT (PRCONCRA) INC.",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(787)-773-0464,,NULL,No,N/A,No,N/A,NULL,NULL,NULL,68054,,NULL,,NULL,NULL,556593341,NULL
Section 330,H80,Inactive,75300,H80CS00573,BPS-H80-021771,Family Health Center Columbia East,Service Delivery Site,No,Terminated,9/7/20,Permanent,All Other Clinic Types,NULL,5/1/16,9/1/15,"2475 Broadway Bluffs Dr, Columbia, MO 65201-8148",MO-04,65201,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,2475 Broadway Bluffs Dr,NULL,NULL,Columbia,MO,Region VII,Region VII,65201,8148,Boone,401 West Blvd N Ste (A-B),Columbia,MO,65203,2600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Family Health Center of Boone County,NULL,NULL,NULL,Jack  Kelly,(573)-886-6713,,jkelly@fhcmo.org,NULL,(573)-214-2314,,NULL,No,N/A,No,N/A,NULL,NULL,NULL,32491,,NULL,,NULL,NULL,809524056,NULL
Section 330,H80,Inactive,75300,H80CS00573,BPS-H80-000432,FAMILY HEALTH CENTER OF BOONE COUNTY,Service Delivery Site,No,Terminated,9/7/20,Permanent,All Other Clinic Types,7/1/04,7/1/04,7/1/04,"1001 W Worley St, Columbia, MO 65203-2037",MO-04,"63345,63352,63382,63388,64660,64676,64681,65010,65018,65023,65025,65032,65034,65039,65040,65042,65043,65046,65050,65053,65055,65059,65063,65067,65068,65074,65076,65077,65080,65081,65101,65102,65103,65104,65105,65106,65107,65109,65110,65111,65201,65202,65203,65230,65231,65232,65233,65236,65237,65239,65240,65243,65244,65246,65248,65250,65251,65254,65255,65256,65257,65259,65260,65261,65262,65264,65265,65270,65274,65276,65278,65279,65280,65281,65284,65285,65286,65287,65322,65348","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",44,Health Center/Applicant,,NULL,503255713,,,NULL,1001 W Worley St,NULL,NULL,Columbia,MO,Region VII,Region VII,65203,2037,Boone,401 West Blvd N Ste (A-B),Columbia,MO,65203,2600,"1001 W Worley St, Columbia, MO 65203-2037",NULL,NULL,1001,W Worley St, ,NULL,NULL,Columbia,MO,65203,2037,MO-09,Family Health Center of Boone County,NULL,NULL,NULL,Jack  Kelly,(573)-886-6713,,jkelly@fhcmo.org,,(573)-214-2314,(573)-886-6713,,Yes,C81CS13608(Used),Yes,C8CCS27652(Used),1689646143,261840,This site has a Medicare billing number,8838,Year-Round,Full-Time,Urban,600587208,(573)-814-2784,809524056,"1,10.01,10.02,101,102,103,104,105,106,107,108,109,11.01,11.03,11.04,12,13,14,15.01,15.02,16.01,16.02,17.01,18.03,18.05,19.01,19.02,2,20,201.98,202,203,204,205,206,3,4.01,4.02,5,6,7,8,9,9501,9502,9503,9504,9505,9506,9507,9601,9602,9603,9701,9702,9703,9704,9705,9706,9707,9708,9851,9852,9853,9854,9901,9902,9903,9904,9905,9906"
Section 330,H80,Inactive,75300,H80CS00573,BPS-H80-002391,FAMILY HEALTH CENTER @ SALISBURY,Service Delivery Site,No,Terminated,9/7/20,Permanent,All Other Clinic Types,3/28/05,1/5/05,3/28/05,"307 S Broadway, Salisbury, MO 65281-1037",MO-06,"6,466,064,676,646,810,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,507299600,,,NULL,307 S Broadway,NULL,NULL,Salisbury,MO,Region VII,Region VII,65281,1037,Chariton,401 West Blvd N Ste (A-B),Columbia,MO,65203,2600,"1001 W Worley St, Columbia, MO 65203-2037",NULL,NULL,1001,W Worley St, ,NULL,NULL,Columbia,MO,65203,2037,MO-09,Family Health Center of Boone County,NULL,NULL,NULL,Jack  Kelly,(573)-886-6713,,jkelly@fhcmo.org,,(660)-388-6446,(573)-886-6713,,Yes,C81CS13608(Used),No,N/A,1346213535,261886,This site has a Medicare billing number,7269,Year-Round,Full-Time,Rural,600587208,(660)-388-6870,809524056,"970,197,029,703"
Section 330,H80,Inactive,75300,H80CS00573,BPS-H80-007078,JUVENILE JUSTICE CENTER,Service Delivery Site,No,Terminated,9/7/20,Permanent,Correctional Facility,1/3/94,1/3/94,1/3/94,"5665 Roger I Wilson Memorial Dr, Columbia, MO 65202-6522",MO-04,65202,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",8,Health Center/Applicant,,NULL,503255713,,,NULL,5665 Roger I Wilson Memorial Dr,NULL,NULL,Columbia,MO,Region VII,Region VII,65202,6522,Boone,401 West Blvd N Ste (A-B),Columbia,MO,65203,2600,"1001 W Worley St, Columbia, MO 65203-2037",NULL,NULL,1001,W Worley St, ,NULL,NULL,Columbia,MO,65203,2037,MO-09,Family Health Center of Boone County,NULL,NULL,NULL,Jack  Kelly,(573)-886-6713,,jkelly@fhcmo.org,,(573)-886-4450,(573)-886-6713,,No,N/A,No,N/A,,,This site is neither permanent nor seasonal per CMS,5468,Year-Round,Part-Time,Urban,600587208,(573)-886-4461,809524056,"1,10.01,10.02,101,102,103,104,105,106,107,108,109,11.01,11.03,11.04,12,13,14,15.01,15.02,16.01,16.02,17.01,18.03,18.05,19.01,19.02,2,20,201.98,202,203,204,205,206,3,4.01,4.02,5,6,7,8,9,9501,9502,9503,9504,9505,9506,9507,9601,9602,9603,9701,9702,9703,9704,9705,9706,9707,9708,9851,9852,9853,9854,9901,9902,9903,9904,9905,9906"
Section 330,H80,Inactive,75300,H80CS00573,BPS-H80-008201,Family Dental Center,Service Delivery Site,No,Terminated,9/7/20,Permanent,All Other Clinic Types,-,3/2/09,3/2/09,"1101 N Providence Rd, Columbia, MO 65203-4365",MO-04,"63345,63352,63382,64660,64676,64681,65010,65018,65023,65025,65032,65034,65039,65042,65043,65044,65046,65050,65053,65055,65059,65063,65067,65068,65074,65076,65077,65080,65081,65088,65101,65102,65103,65104,65105,65106,65107,65109,65110,65111,65201,65202,65205,65230,65231,65232,65233,65236,65237,65239,65240,65243,65244,65246,65248,65250,65251,65254,65255,65256,65257,65259,65260,65261,65262,65264,65265,65270,65274,65276,65278,65279,65280,65281,65284,65285,65286,65287,65322,65348","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,1101 N Providence Rd,NULL,NULL,Columbia,MO,Region VII,Region VII,65203,4365,Boone,401 West Blvd N Ste (A-B),Columbia,MO,65203,2600,"1001 W. Worley, Columbia, MO 65203-2037",NULL,NULL,1001,W. Worley, ,NULL,NULL,Columbia,MO,65203,2037,MO-09,Family Health Center of Boone County,NULL,NULL,NULL,Jack  Kelly,(573)-886-6713,,jkelly@fhcmo.org,NULL,(573)-777-8997,(573)-886-6711,NULL,Yes,C81CS13608(Used),No,N/A,1275670747,,Health center does not/will not bill under the FQHC Medicare system at this site,12400,Year-Round,Full-Time,Urban,NULL,(573)-442-5208,809524056,"1,1.02,10.01,10.02,101,102,103,104,105,106,107,108,109,11.01,11.03,11.04,12,13,14,15.01,15.02,16.01,16.02,17.01,18.03,18.05,19.01,19.02,2,20,201.98,202,203,204,205,206,3,4.01,5,6,7,8,9,9501,9502,9503,9504,9505,9506,9507,9601,9602,9603,9701,9702,9703,9704,9705,9706,9707,9708,9851,9852,9853,9854,9901,9902,9903,9904,9905,9906"
Section 330,H80,Inactive,75300,H80CS00573,BPS-H80-030480,Family Health Center Moberly,Service Delivery Site,No,Terminated,9/7/20,Permanent,All Other Clinic Types,NULL,3/17/20,4/8/20,"1319 E Highway 24 Ste B, Moberly, MO 65270-3682",MO-04,65270,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,1319 E Highway 24 Ste B,NULL,NULL,Moberly,MO,Region VII,Region VII,65270,3682,Randolph,401 West Blvd N Ste (A-B),Columbia,MO,65203,2600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Family Health Center of Boone County,NULL,NULL,NULL,Jack  Kelly,(573)-886-6713,,jkelly@fhcmo.org,NULL,(660)-263-6643,,NULL,No,N/A,No,N/A,NULL,NULL,NULL,68284,,NULL,,NULL,NULL,809524056,NULL
Section 330,H80,Inactive,51840,H80CS00031,BPS-H80-000622,CLINICA SANTA MARIA,Service Delivery Site,No,Terminated,9/7/20,Permanent,All Other Clinic Types,8/1/89,1/1/90,8/1/89,"730 GRANDVILLE AVE, SE, GRAND RAPIDS, MI 49503-4920",MI-03,49503,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",54,Health Center/Applicant,,NULL,1285830448,,,NULL,"730 GRANDVILLE AVE, SE",NULL,NULL,GRAND RAPIDS,MI,Region V,Region V,49503,4920,Kent,200 Jefferson Ave SE,Grand Rapids,MI,49503,4502,"200 Jefferson, Grand Rapids, MI 49503",NULL,NULL,200,Jefferson, ,NULL,NULL,Grand Rapids,MI,49503,NULL,NULL,TRINITY HEALTH CORPORATION,NULL,NULL,NULL,Tim  Radabaugh,(269)-876-0228,,tim.radabaugh@mercyhealth.com,NULL,(616)-913-8400,(616)-685-6897,NULL,Yes,C81CS14508(Created),No,N/A,1154584373,231905,This site has a Medicare billing number,7802,Year-Round,Full-Time,Urban,1588641682,(616)-685-6151,168537293,NULL
Section 330,H80,Inactive,51840,H80CS00031,BPS-H80-014143,Mercy Health Dental Clinic,Service Delivery Site,No,Terminated,9/7/20,Permanent,All Other Clinic Types,6/18/14,8/4/14,10/7/14,"781 36TH ST SE, GRAND RAPIDS, MI 49548-2319",MI-02,"4,950,349,504,495,050,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,781 36TH ST SE,NULL,NULL,GRAND RAPIDS,MI,Region V,Region V,49548,2319,Kent,200 Jefferson Ave SE,Grand Rapids,MI,49503,4502,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRINITY HEALTH CORPORATION,NULL,NULL,NULL,Tim  Radabaugh,(269)-876-0228,,tim.radabaugh@mercyhealth.com,NULL,(616)-685-4700,(616)-685-3819,NULL,No,N/A,No,N/A,NULL,231039,This site has a Medicare billing number,26215,,Full-Time,Urban,NULL,(616)-685-4708,168537293,NULL
Section 330,H80,Inactive,65800,H80CS00204,BPS-H80-012457,Yale Street,Service Delivery Site,No,Terminated,9/9/15,Permanent,All Other Clinic Types,11/7/09,3/11/13,7/9/13,"4040 Yale St, Houston, TX 77018-5928",TX-18,"770,087,700,977,016,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",48,Health Center/Applicant,,NULL,N/A,NULL,NULL,NULL,4040 Yale St,NULL,NULL,Houston,TX,Region VI,Region VI,77018,5928,Harris,8610 MARTIN LUTHER KING BLVD # J,HOUSTON,TX,77033,2308,"Post Office Box 300345, Houston, TX 77230-0345",NULL,NULL,NULL,NULL, ,300345,NULL,Houston,TX,77230,345,NULL,SOUTH CNTRL HOU COMM,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(713)-290-0001,(713)-734-4580,NULL,No,N/A,No,N/A,,,Number is pending; application for this site has been submitted to CMS,22814,Year-Round,Full-Time,Urban,N/A,(713)-734-1564,73453438,"220,222,032,204,220,000,000,000,000,000,000,000"
Section 330,H80,Inactive,51840,H80CS00031,BPS-H80-010504,Cherry Street Health Services,Service Delivery Site,No,Terminated,9/9/16,Permanent,All Other Clinic Types,12/2/80,1/12/10,10/1/11,"100 Cherry St SE, Grand Rapids, MI 49503",MI-03,NULL,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",55,Subrecipient,,NULL,NULL,NULL,NULL,NULL,100 Cherry St SE,NULL,NULL,Grand Rapids,MI,Region V,Region V,49503,NULL,Kent,200 Jefferson Ave SE,Grand Rapids,MI,49503,4502,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRINITY HEALTH CORPORATION,"100 Cherry Street SE, Grand Rapids, MI 49503- 0159",NULL,38-2853534,Tim  Radabaugh,(269)-876-0228,,tim.radabaugh@mercyhealth.com,NULL,(616)-776-2129,(616)-776-2129,NULL,Yes,C81CS14508(Created),No,N/A,NULL,231887,This site has a Medicare billing number,13744,Year-Round,Full-Time,,NULL,NULL,168537293,NULL
Section 330,H80,Inactive,09E01131,H80CS28367,BPS-H80-017812,Tofol Health Center,Service Delivery Site,No,Terminated,9/14/18,Permanent,All Other Clinic Types,NULL,4/21/16,6/27/16,"Suite 103 (NCD Unit), Arthur P. Sigrah Memorial Hospital  Hospital Road, Tofol, Kosrae, FM 96944",NULL,96944,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,"Suite 103 (NCD Unit), Arthur P. Sigrah Memorial Hospital  Hospital Road, Tofol",NULL,NULL,Kosrae,FM,Region IX,Region IX,96944,NULL,Federated States Of Micro,HOSPITAL ROAD,KOSRAE,NA,96944,    ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Kosrae Department of Health Services,NULL,NULL,NULL,Nena  Tolenoa,(691)-370-2011,,ntolenoa@kosraechc.org,NULL,(691)-370-2011,,NULL,No,N/A,No,N/A,NULL,NULL,NULL,38176,,NULL,,NULL,NULL,854814241,NULL
Section 330,H80,Inactive,23890,H80CS11274,BPS-H80-008837,Health Care for the Homeless Health Reach Clinic,Service Delivery Site,No,Terminated,9/17/19,Permanent,All Other Clinic Types,12/1/09,6/29/09,12/23/09,"819 W Main St, Rochester, NY 14611-2334",NY-25,"145,051,453,414,603,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NPI # 1457395766,NULL,NULL,NULL,819 W Main St,NULL,NULL,Rochester,NY,Region II,Region II,14611,2334,Monroe,89 Genesee St,Rochester,NY,14611,3201,"89 Genesee St., Rochester, NY 14611-3201",NULL,NULL,89,Genesee St., ,NULL,NULL,Rochester,NY,14611,3201,NY-28,"Unity Hospital of Rochester, The",NULL,NULL,NULL,Karen  Kinter,(585)-414-6451,,karen.kinter@rochesterregional.org,NULL,(585)-368-3720,(585)-368-3023,NULL,Yes,C81CS13669(Created),No,N/A,,,Health center does not/will not bill under the FQHC Medicare system at this site,13335,Year-Round,Part-Time,Urban,0,(585)-368-3723,198545316,63
Section 330,H80,Inactive,2.00E+56,H80CS10579,BPS-H80-008421,Access Community Health Center Pelham Pkway,Service Delivery Site,No,Terminated,9/20/13,Permanent,All Other Clinic Types,12/18/03,3/11/09,12/18/03,"1500 Pelham Pkwy S, Bronx, NY 10461-1100",NY-14,"1,003,210,034,104,510,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",42,Health Center/Applicant,,NULL,1928569,NULL,NULL,NULL,1500 Pelham Pkwy S,NULL,NULL,Bronx,NY,Region II,Region II,10461,1100,Bronx,83 Maiden Ln Fl 6,New York,NY,10038,4737,"1500 Pelham Parkway South, Bronx, NY 10461",NULL,NULL,1500,Pelham Parkway South, ,NULL,NULL,Bronx,NY,10461,NULL,NULL,"Ahrc Health Care, Inc.",NULL,NULL,NULL,Donna  McNerney,(718)-730-1004,,donna.mcnerney@accesschc.org,NULL,(718)-730-1004,(212)-780-4446,NULL,No,N/A,No,N/A,NULL,Pending,NULL,12386,Year-Round,Full-Time,Urban,Pending,(718)-892-6469,360996149,"152,160,162,164,166,184,194,200,202,204,206.01,206.02,210,210.01,210.02,212,216.01,216.02,220,224.01,224.03,224.04,228,230,232,236,238,242,244,246,248,250,252,254,256,264,266.01,266.02,274,274.01,274.02,276,284,286,288,296,300,310,312,314,316,318,326,92"
Section 330,H80,Inactive,09E00525,H80CS24201,BPS-H80-012670,Desert SOS (Roy's Resource Center),Service Delivery Site,No,Terminated,9/20/17,Permanent,All Other Clinic Types,1/10/10,6/18/13,6/1/12,"19531 McLane Street, Palm Springs, CA 92262",CA-36,"922,019,220,292,203,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",5,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,19531 McLane Street,NULL,NULL,Palm Springs,CA,Region IX,Region IX,92262,NULL,Riverside,2880 Hulen Pl,Riverside,CA,92507,2606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Urban Community Action Projects,NULL,NULL,NULL,Bill  Ballas,(925)-989-4276,,billballas@healthtohope.com,NULL,(760)-676-5200,(760)-327-4394,NULL,No,N/A,No,N/A,1649607714,,Application for this site has not yet been submitted to CMS,17946,Year-Round,Part-Time,Rural,NULL,NULL,11116026,448.05
